Registration Year,nhs_board,age_group,births,population,birth_rate
2001,Ayrshire and Arran,0 up to 19,311.085925446199,43728,7.114112821217503
2002,Ayrshire and Arran,0 up to 19,285.8347809114863,43225,6.612719049427097
2003,Ayrshire and Arran,0 up to 19,285.7693042083556,43001,6.645643222444957
2004,Ayrshire and Arran,0 up to 19,286.7664979325434,42723,6.712227557347177
2005,Ayrshire and Arran,0 up to 19,277.48297703879655,42289,6.561587576882796
2006,Ayrshire and Arran,0 up to 19,284.15967368061666,41866,6.787361431247711
2007,Ayrshire and Arran,0 up to 19,287.88275240801056,41579,6.923753635441222
2008,Ayrshire and Arran,0 up to 19,279.4201616262601,41405,6.748464234422415
2009,Ayrshire and Arran,0 up to 19,264.5759495815403,41134,6.4320501186740975
2010,Ayrshire and Arran,0 up to 19,244.0079122001021,40887,5.967860498449436
2011,Ayrshire and Arran,0 up to 19,224.87819417873735,40577,5.542011340876293
2012,Ayrshire and Arran,0 up to 19,196.2138939670932,40237,4.876454357111445
2013,Ayrshire and Arran,0 up to 19,179.95001517938462,39800,4.521357165311171
2014,Ayrshire and Arran,0 up to 19,154.1456984028942,39204,3.9318870116032594
2015,Ayrshire and Arran,0 up to 19,139.39212198221094,38810,3.5916547792375915
2016,Ayrshire and Arran,0 up to 19,126.65693671862091,38472,3.292184880396676
2017,Ayrshire and Arran,0 up to 19,114.08395762391221,38037,2.999289050764051
2018,Ayrshire and Arran,0 up to 19,101.70471289907613,37613,2.7039776911992166
2019,Ayrshire and Arran,0 up to 19,91.17100908598593,37280,2.4455742780575624
2020,Ayrshire and Arran,0 up to 19,83.12458869279091,37046,2.243820890049962
2001,Borders,0 up to 19,90.23608068725119,12138,7.434180316959234
2002,Borders,0 up to 19,83.59705279594027,12157,6.876454124861419
2003,Borders,0 up to 19,83.14442832047658,12181,6.825747337696131
2004,Borders,0 up to 19,81.38072722552891,12178,6.682602005709387
2005,Borders,0 up to 19,80.41092636579573,12145,6.620907893437277
2006,Borders,0 up to 19,82.45009074410163,12132,6.796083971653613
2007,Borders,0 up to 19,87.23719769939713,12220,7.138886882111058
2008,Borders,0 up to 19,81.13808214613013,12399,6.543921457063484
2009,Borders,0 up to 19,78.34530545861145,12409,6.31358735261596
2010,Borders,0 up to 19,74.17993874425727,12236,6.062433699269146
2011,Borders,0 up to 19,64.10214539491665,12027,5.329853279697069
2012,Borders,0 up to 19,60.43875685557587,11903,5.077607061713507
2013,Borders,0 up to 19,56.151115238316336,11836,4.744095576065929
2014,Borders,0 up to 19,46.66241948292597,11834,3.9430809094918002
2015,Borders,0 up to 19,40.01927754583409,11802,3.390889471770386
2016,Borders,0 up to 19,36.420664206642066,11771,3.09410111346887
2017,Borders,0 up to 19,34.38861142640938,11711,2.936436805260813
2018,Borders,0 up to 19,30.954976026195762,11643,2.6586769755385866
2019,Borders,0 up to 19,26.62181840062579,11600,2.294984344881534
2020,Borders,0 up to 19,23.12817828297936,11409,2.027187157768372
2001,Dumfries and Galloway,0 up to 19,108.60496390407437,16663,6.517731735226212
2002,Dumfries and Galloway,0 up to 19,109.96164731140821,16431,6.692328361719202
2003,Dumfries and Galloway,0 up to 19,103.6925265408997,16307,6.3587739339485925
2004,Dumfries and Galloway,0 up to 19,110.69944929632308,16265,6.805991349297454
2005,Dumfries and Galloway,0 up to 19,108.05938242280286,16125,6.701357049476146
2006,Dumfries and Galloway,0 up to 19,109.16659179529567,16035,6.808019444670762
2007,Dumfries and Galloway,0 up to 19,112.36449310512093,15938,7.050099956401112
2008,Dumfries and Galloway,0 up to 19,101.95734399733401,15826,6.442395045958171
2009,Dumfries and Galloway,0 up to 19,101.86917629519193,15855,6.42505053895881
2010,Dumfries and Galloway,0 up to 19,92.32559128807215,15733,5.868276316536716
2011,Dumfries and Galloway,0 up to 19,80.76407488384804,15679,5.151098595819124
2012,Dumfries and Galloway,0 up to 19,73.69287020109688,15384,4.790228172198185
2013,Dumfries and Galloway,0 up to 19,65.47673982534779,15172,4.315630096582375
2014,Dumfries and Galloway,0 up to 19,55.511444454248654,14908,3.723601050056926
2015,Dumfries and Galloway,0 up to 19,48.470793247413326,14660,3.306329689455206
2016,Dumfries and Galloway,0 up to 19,47.76361733766591,14563,3.2797924423309697
2017,Dumfries and Galloway,0 up to 19,43.39432463110102,14358,3.0223098364048626
2018,Dumfries and Galloway,0 up to 19,37.68705414571395,14187,2.6564498587237577
2019,Dumfries and Galloway,0 up to 19,33.50977796497985,14108,2.375232347957177
2020,Dumfries and Galloway,0 up to 19,31.120400837571044,13967,2.228137813243434
2001,Fife,0 up to 19,308.29250080953926,42270,7.293411422037835
2002,Fife,0 up to 19,289.51927393383426,42056,6.884137196448408
2003,Fife,0 up to 19,288.9427556709692,41238,7.006711180730616
2004,Fife,0 up to 19,288.93252489291876,41195,7.013776547952877
2005,Fife,0 up to 19,294.22565320665086,41212,7.13931993610237
2006,Fife,0 up to 19,296.7757991770139,40982,7.241613371163289
2007,Fife,0 up to 19,303.9135195066177,40606,7.484448591504155
2008,Fife,0 up to 19,310.0786636674165,40652,7.6276361228824285
2009,Fife,0 up to 19,279.51495950936874,40737,6.861451739435126
2010,Fife,0 up to 19,266.56219159435085,40643,6.558624894676841
2011,Fife,0 up to 19,246.92053839846952,40500,6.096803417246161
2012,Fife,0 up to 19,213.07312614259595,40409,5.272912622004898
2013,Fife,0 up to 19,191.0519492115649,40230,4.748992026138824
2014,Fife,0 up to 19,167.87247860231182,40003,4.196497227765713
2015,Fife,0 up to 19,144.91069159557088,40032,3.619871392775052
2016,Fife,0 up to 19,135.4993666354574,39855,3.39980847159597
2017,Fife,0 up to 19,120.48183881952326,39536,3.0473957613193865
2018,Fife,0 up to 19,109.44345690562507,39339,2.782059963538094
2019,Fife,0 up to 19,96.63487574462964,39396,2.452910847411657
2020,Fife,0 up to 19,86.0532455877954,39299,2.189705732659747
2001,Forth Valley,0 up to 19,238.4568848930456,33687,7.078602573486674
2002,Forth Valley,0 up to 19,230.8948960671416,33692,6.853107445896402
2003,Forth Valley,0 up to 19,232.3759833498816,33625,6.910809913751126
2004,Forth Valley,0 up to 19,245.2251951567744,33433,7.334824728764226
2005,Forth Valley,0 up to 19,241.07917656373715,33697,7.154321647735322
2006,Forth Valley,0 up to 19,238.2963468760669,33825,7.044976995596952
2007,Forth Valley,0 up to 19,253.8080521100409,33914,7.483872504276726
2008,Forth Valley,0 up to 19,246.3374989585937,33824,7.282920380753125
2009,Forth Valley,0 up to 19,226.24826347711175,33908,6.672415461752735
2010,Forth Valley,0 up to 19,212.76416539050538,33979,6.261637052017581
2011,Forth Valley,0 up to 19,182.47126947253346,33753,5.406075592466846
2012,Forth Valley,0 up to 19,172.51553930530164,33470,5.154333412169156
2013,Forth Valley,0 up to 19,149.25933532153508,33297,4.482666165766738
2014,Forth Valley,0 up to 19,134.4188476131651,33163,4.053277677326089
2015,Forth Valley,0 up to 19,113.42011254311127,33046,3.432188844129737
2016,Forth Valley,0 up to 19,104.26094619155147,32940,3.1651774800106702
2017,Forth Valley,0 up to 19,101.07956867196367,32612,3.099459360724999
2018,Forth Valley,0 up to 19,85.40930885276575,32403,2.6358457196174965
2019,Forth Valley,0 up to 19,75.88380768999339,32059,2.367004825165894
2020,Forth Valley,0 up to 19,70.39724798085552,31724,2.2190533344110306
2001,Grampian,0 up to 19,441.27644336082597,61348,7.193004553707145
2002,Grampian,0 up to 19,433.95140040987604,60814,7.135715466995693
2003,Grampian,0 up to 19,412.15200870694264,60673,6.793005269344563
2004,Grampian,0 up to 19,411.3130481541229,60560,6.791827083126204
2005,Grampian,0 up to 19,415.03404592240696,60486,6.861654695671841
2006,Grampian,0 up to 19,422.12071660886596,60476,6.979970841472087
2007,Grampian,0 up to 19,455.42290901531425,60675,7.505939992011772
2008,Grampian,0 up to 19,450.8225776889111,60733,7.423025005991983
2009,Grampian,0 up to 19,434.8536238267882,61028,7.125477220731274
2010,Grampian,0 up to 19,399.58771482048667,61214,6.527717757710437
2011,Grampian,0 up to 19,363.0912134462968,61221,5.930827876811826
2012,Grampian,0 up to 19,343.0164533820841,60929,5.629773234126345
2013,Grampian,0 up to 19,303.60088933335715,60819,4.991875718662871
2014,Grampian,0 up to 19,273.3269566751963,60978,4.482386379927126
2015,Grampian,0 up to 19,247.1778907242694,61055,4.048446330755374
2016,Grampian,0 up to 19,227.25769675607202,61089,3.7201083133800195
2017,Grampian,0 up to 19,205.74055996973135,60495,3.400951483093336
2018,Grampian,0 up to 19,184.31423225353757,60294,3.0569249386926987
2019,Grampian,0 up to 19,159.14964799326074,60454,2.6325743208598396
2020,Grampian,0 up to 19,140.93134908764583,60350,2.335233621999102
